index,catagories,severity
70140,0,0
70420,0,0
70700,0,0
70980,0,0
76860,1,2
77140,1,2
77420,1,2
81900,1,2
84140,1,2
84420,1,2
84700,1,2
88060,1,2
88340,1,2
88620,1,2
88900,1,2
95340,0,0
95620,0,0
95900,0,0
165620,1,2
165900,1,2
200340,0,0
200620,0,0
262780,0,0
264460,0,0
268380,0,0
268660,0,0
302540,1,2
302820,1,2
304780,1,2
305060,1,2
305900,1,2
307020,0,0
307580,1,2
307860,1,2
315420,0,0
315700,0,0
321300,2,2
321580,2,2
321860,2,2
324380,1,2
324660,1,2
324940,1,2
339780,2,2
340060,2,2
