index,catagories,severity
58100,0,0
58380,0,0
60900,0,0
61180,0,0
69020,0,0
69300,0,0
72660,1,2
72940,1,2
80500,0,0
81340,0,0
81620,0,0
90580,0,0
90860,0,0
91140,0,0
91420,0,0
91700,0,0
91980,0,0
92260,0,0
92540,0,0
92820,0,0
93100,0,0
96460,0,0
96740,0,0
97020,0,0
97300,0,0
97580,1,2
97860,1,2
98140,1,2
98420,1,2
98700,0,0
99260,1,2
99540,1,2
100100,0,0
100380,0,0
100660,0,0
100940,0,0
101220,0,0
101500,0,0
101780,0,0
102060,0,0
102620,1,2
102900,1,2
103180,1,2
118300,0,0
118580,0,0
123340,0,0
126980,0,0
140980,0,0
141540,0,0
141820,0,0
144060,0,0
144340,0,0
236460,0,0
236740,0,0
237860,0,0
238140,0,0
241780,1,2
242060,1,2
242620,1,2
242900,1,2
243180,1,2
248500,1,2
311220,1,2
311500,1,2
314300,0,0
318220,1,1
318500,1,1
318780,1,1
319620,0,0
319900,0,0
320740,0,0
321020,0,0
321580,1,2
321860,1,2
322140,1,2
326060,0,0
368620,1,2
368900,1,2
370020,1,2
370300,1,2
370580,1,2
379540,0,0
380660,0,0
384580,0,0
384860,0,0
388220,1,2
388500,1,2
388780,1,2
389060,0,0
389900,1,2
390180,1,1
390460,1,1
390740,1,1
391020,0,0
393540,0,0
393820,0,0
394100,0,0
394380,0,0
394660,0,0
394940,0,0
396900,1,1
397180,1,1
397460,1,1
455700,1,2
459060,0,0
459340,0,0
463820,1,2
464100,1,2
466060,0,0
466620,0,0
466900,0,0
467180,1,2
467460,1,2
467740,1,2
468860,1,2
469140,1,2
470260,0,0
470540,0,0
471100,0,0
471380,0,0
473340,0,0
473620,0,0
474180,0,0
