index,catagories,severity
18060,2,2
42140,0,0
47460,2,2
47740,2,2
49140,0,0
49700,1,2
49980,1,2
50260,1,2
51100,0,0
51380,0,0
52500,1,2
52780,1,2
54180,1,2
54460,1,2
55020,1,2
55300,1,2
59780,2,2
60060,2,2
64540,0,0
64820,0,0
65380,2,2
65660,2,2
72380,1,3
72660,1,3
72940,1,3
77140,0,0
77420,0,0
77700,0,0
88620,0,0
88900,0,0
89180,0,0
89460,0,0
89740,0,0
91140,0,0
91420,0,0
91700,0,0
91980,0,0
92260,0,0
92540,1,2
92820,1,2
93100,1,2
93660,1,2
93940,1,2
94220,1,2
94500,1,2
94780,1,2
95060,0,0
95340,0,0
95620,0,0
95900,0,0
96180,0,0
104860,0,0
108220,0,0
108500,0,0
109900,0,0
110180,0,0
114660,0,0
114940,0,0
116060,0,0
116340,0,0
134820,1,2
135100,1,2
137900,0,0
138460,0,0
138740,0,0
223580,1,2
223860,1,2
226380,0,0
226660,0,0
230020,0,0
230580,1,2
230860,1,2
291620,0,0
291900,0,0
292180,0,0
292460,0,0
292740,0,0
293020,0,0
293300,0,0
293580,0,0
293860,0,0
303940,2,2
304220,2,2
306460,0,0
306740,0,0
308980,0,0
309260,0,0
309540,0,0
310100,0,0
310380,0,0
311220,1,2
311500,1,2
311780,1,2
312060,1,2
312340,1,2
312620,1,2
312900,1,2
313180,1,2
316820,0,0
317100,0,0
365260,0,0
365540,0,0
365820,0,0
366380,1,2
366660,1,2
366940,1,2
381220,2,2
382060,0,0
382340,0,0
382620,1,2
382900,1,2
386260,0,0
386540,0,0
388780,0,0
393540,2,2
393820,2,2
450100,0,0
450380,0,0
461860,2,2
462140,2,2
462420,0,0
462700,0,0
478100,1,2
478380,1,2
478660,1,2
480340,0,0
480620,0,0
480900,0,0
