index,catagories,severity
11620,1,2
45220,1,1
50540,0,0
50820,0,0
51660,0,0
51940,0,0
53060,1,1
55300,0,0
55580,0,0
64540,0,0
64820,0,0
65940,0,0
76020,0,0
76300,0,0
76580,0,0
77420,0,0
77700,0,0
77980,0,0
78260,0,0
78540,0,0
78820,0,0
79100,0,0
84980,0,0
85260,0,0
85540,0,0
85820,0,0
86100,0,0
86380,0,0
86660,0,0
86940,0,0
87220,0,0
87500,0,0
87780,0,0
88060,1,2
88340,1,2
88620,1,2
88900,1,2
89180,1,2
89740,0,0
90020,0,0
90300,0,0
90580,0,0
91140,1,2
91420,1,2
91700,1,2
104580,0,0
104860,0,0
107380,0,0
107660,0,0
107940,0,0
108220,0,0
112420,0,0
113820,0,0
189420,0,0
189980,0,0
190260,0,0
190540,1,2
190820,1,2
191380,0,0
192780,1,2
193060,1,2
265300,1,1
265580,1,1
266980,0,0
267260,0,0
272300,0,0
272580,0,0
278180,1,1
281540,1,2
281820,1,2
282380,0,0
285740,0,0
286020,0,0
287700,0,0
287980,0,0
305340,0,0
305620,0,0
309260,1,2
320740,1,2
321020,1,2
321300,1,2
423500,0,0
447860,1,2
