index,catagories,severity
2100,0,0
2660,1,2
2940,1,2
3220,1,2
34860,1,2
35140,1,2
36260,1,2
36540,1,2
37100,0,0
44660,1,1
44940,1,1
45500,0,0
49420,0,0
49700,0,0
51380,0,0
52780,0,0
53060,1,2
53340,1,2
53620,1,2
55020,0,0
55300,0,0
55580,0,0
55860,0,0
56140,0,0
56420,0,0
58380,0,0
58660,0,0
70420,1,2
70700,1,2
70980,1,2
75460,0,0
75740,0,0
76020,0,0
76300,0,0
76580,0,0
77420,0,0
77700,0,0
77980,0,0
81900,0,0
82180,0,0
91420,1,2
91700,1,2
93100,1,2
93380,1,2
133700,1,2
133980,1,2
134820,0,0
149100,0,0
149380,0,0
149660,0,0
153300,0,0
153580,1,2
153860,1,2
160860,0,0
161980,0,0
359100,1,2
359380,1,2
359660,1,2
392420,1,1
392700,1,1
399980,1,1
408940,1,1
409220,1,1
415940,0,0
416220,0,0
