index,catagories,severity
8540,2,2
8820,2,2
9100,0,0
9380,0,0
18620,0,0
23380,1,2
23660,1,2
24500,0,0
24780,0,0
25340,0,0
25620,0,0
28980,0,0
29260,0,0
30940,0,0
31220,0,0
91140,1,3
91420,1,3
91700,1,3
98140,0,0
98700,1,2
98980,1,2
108780,0,0
109060,0,0
109620,1,2
109900,1,2
110180,1,2
111580,1,2
111860,1,2
112140,1,2
113540,0,0
183820,0,0
184100,0,0
189980,0,0
190540,0,0
190820,0,0
191100,0,0
197260,1,2
197540,1,2
202300,1,2
202580,1,2
204820,1,2
205100,1,2
208740,1,2
209020,1,2
209300,1,2
216580,0,0
216860,0,0
217980,0,0
218260,0,0
288540,0,0
288820,0,0
400260,0,0
402220,0,0
443380,1,1
443660,1,1
443940,1,1
444500,1,1
444780,1,1
445620,1,2
445900,1,2
446180,1,2
454020,2,1
454300,2,1
459900,0,0
460180,0,0
462980,1,2
463260,1,2
463540,1,2
