index,catagories,severity
41300,1,1
47740,0,0
48300,1,2
48580,1,2
48860,1,2
49140,1,2
49980,1,2
50260,1,2
50540,1,2
51660,1,2
51940,1,2
52220,1,2
52780,0,0
53060,0,0
125580,0,0
126420,0,0
133700,0,0
133980,0,0
139020,0,0
141260,0,0
141540,0,0
141820,0,0
145740,0,0
146020,0,0
146300,0,0
146580,0,0
154980,0,0
155260,0,0
156100,0,0
156380,0,0
158060,0,0
158340,0,0
267260,1,2
267540,1,2
326340,0,0
326620,0,0
326900,0,0
327180,0,0
377580,1,1
379260,0,0
380380,1,1
380660,1,1
381780,0,0
383740,0,0
384020,0,0
391580,0,0
391860,0,0
397740,1,1
398020,1,1
400540,1,1
400820,1,1
401100,1,1
420420,0,0
