index,catagories,severity
31500,1,2
48300,1,2
49420,0,0
50820,1,2
54460,1,2
54740,1,2
61740,0,0
62020,0,0
62580,1,2
62860,1,2
67900,1,2
68180,1,2
70700,0,0
70980,0,0
71260,0,0
71540,0,0
71820,0,0
72100,0,0
72380,0,0
72660,0,0
72940,0,0
73220,0,0
79380,0,0
79940,1,2
80220,1,2
80500,1,2
80780,1,2
81060,0,0
81340,0,0
81620,0,0
81900,0,0
82180,0,0
82460,1,3
82740,1,3
83020,1,3
83580,0,0
83860,0,0
84140,0,0
84420,0,0
84700,0,0
84980,0,0
85260,0,0
85820,1,3
86100,1,3
86380,1,3
105420,0,0
105700,0,0
105980,0,0
106260,0,0
112980,1,2
113260,1,2
193060,0,0
193340,0,0
193900,0,0
194180,0,0
194460,0,0
194740,0,0
195020,0,0
195300,0,0
195580,0,0
196420,0,0
196700,0,0
197260,1,2
197540,1,2
198100,1,2
198380,1,2
201460,0,0
201740,0,0
202020,0,0
202300,0,0
202580,0,0
203140,1,2
203420,1,2
203700,1,2
203980,0,0
204260,0,0
207620,1,2
207900,1,2
208180,0,0
210700,1,2
210980,1,2
263340,1,2
263620,1,2
264180,0,0
264460,0,0
264740,0,0
265020,0,0
268940,0,0
269220,0,0
269500,1,2
269780,1,2
270060,1,2
289380,1,2
289660,1,2
289940,1,2
290220,1,2
290500,1,2
290780,0,0
291620,0,0
291900,0,0
292180,0,0
292460,0,0
293300,0,0
293580,0,0
307580,1,2
307860,1,2
308140,1,2
311500,1,2
311780,1,2
316820,1,2
317100,1,2
317380,1,2
317660,0,0
318500,0,0
318780,0,0
319060,0,0
319340,0,0
319620,0,0
319900,0,0
320180,0,0
320460,1,2
320740,1,2
321020,1,2
321300,1,2
328300,0,0
328580,0,0
363300,1,2
363580,1,2
363860,1,2
364140,1,2
374780,0,0
375900,0,0
380940,1,2
381220,1,2
382620,0,0
382900,0,0
383180,0,0
383460,0,0
384020,1,2
384300,1,2
389620,0,0
389900,0,0
443940,0,0
444220,0,0
448140,0,0
448420,0,0
448700,0,0
455420,0,0
455700,0,0
455980,0,0
466620,1,2
466900,1,2
467460,1,2
467740,1,2
469140,1,2
469420,1,2
469700,1,2
471100,0,0
471380,0,0
